time,daily_max_T,daily_mean_T
1996.557263108551,NaN,-NaN
1996.559995348988,NaN,-NaN
1996.562727589425,NaN,-NaN
1996.565459829862,NaN,-NaN
1996.568192070299,NaN,-NaN
1996.570924310736,NaN,-NaN
1996.573656551173,NaN,-NaN
1996.576388791611,NaN,-NaN
1996.579121032048,NaN,-NaN
1996.581853272485,NaN,-NaN
1996.584585512922,NaN,-NaN
1996.587317753359,NaN,-NaN
1996.590049993796,NaN,-NaN
1996.592782234233,NaN,-NaN
1996.595514474671,NaN,-NaN
1996.598246715108,NaN,-NaN
1996.600978955545,NaN,-NaN
1996.603711195982,NaN,-NaN
1996.606443436419,NaN,-NaN
1996.609175676856,NaN,-NaN
1996.611907917294,NaN,-NaN
1996.614640157731,NaN,-NaN
1996.617372398168,NaN,-NaN
1996.620104638605,NaN,-NaN
1996.622836879042,NaN,-NaN
1996.625569119479,NaN,-NaN
1996.628301359917,NaN,-NaN
1996.631033600354,NaN,-NaN
1996.633765840791,NaN,-NaN
1996.636498081228,NaN,-NaN
1996.639230321665,NaN,-NaN
1996.641962562102,NaN,-NaN
1996.644694802540,NaN,-NaN
1996.647427042977,NaN,-NaN
1996.650159283414,NaN,-NaN
1996.652891523851,NaN,-NaN
1996.655623764288,NaN,-NaN
1996.658356004725,NaN,-NaN
1996.661088245163,NaN,-NaN
1996.663820485600,NaN,-NaN
1996.666552726037,NaN,-NaN
1996.669284966474,NaN,-NaN
1996.672017206911,NaN,-NaN
1996.674749447348,NaN,-NaN
1996.677481687786,NaN,-NaN
1996.680213928223,NaN,-NaN
1996.682946168660,NaN,-NaN
1996.685678409097,NaN,-NaN
1996.688410649534,NaN,-NaN
1996.691142889971,NaN,-NaN
1996.693875130409,NaN,-NaN
1996.696607370846,NaN,-NaN
1996.699339611283,NaN,-NaN
1996.702071893411,NaN,-NaN
1996.704804133848,NaN,-NaN
1996.707536374285,NaN,-NaN
1996.710268614722,NaN,-NaN
1996.713000855159,NaN,-NaN
1996.715733095596,NaN,-NaN
1996.718465336034,NaN,-NaN
1996.721197576471,NaN,-NaN
1996.723929816908,NaN,-NaN
1996.726662057345,NaN,-NaN
1996.729394297782,NaN,-NaN
1996.732126538219,NaN,-NaN
1996.734858778656,NaN,-NaN
1996.737591019094,NaN,-NaN
1996.740323259531,NaN,-NaN
1996.743055499968,NaN,-NaN
1996.745787740405,NaN,-NaN
1996.748519980842,NaN,-NaN
1996.751252221279,NaN,-NaN
1996.753984461717,NaN,-NaN
1996.756716702154,NaN,-NaN
1996.759448942591,NaN,-NaN
1996.762181183028,NaN,-NaN
1996.764913423465,NaN,-NaN
1996.767645663902,NaN,-NaN
1996.770377904340,NaN,-NaN
1996.773110144777,NaN,-NaN
1996.775842385214,NaN,-NaN
1996.778574625651,NaN,-NaN
1996.781306866088,NaN,-NaN
1996.784039106525,NaN,-NaN
1996.786771346962,NaN,-NaN
1996.789503587400,NaN,-NaN
1996.792235827837,NaN,-NaN
1996.794968068274,NaN,-NaN
1996.797700308711,NaN,-NaN
1996.800432549148,NaN,-NaN
1996.803164789585,NaN,-NaN
1996.805897030023,NaN,-NaN
1996.808629270460,NaN,-NaN
1996.811361510897,NaN,-NaN
1996.814093751334,NaN,-NaN
1996.816825991771,NaN,-NaN
1996.819558232208,NaN,-NaN
1996.822290472646,NaN,-NaN
1996.825022713083,NaN,-NaN
1996.827754953520,NaN,-NaN
1996.830487193957,NaN,-NaN
1996.833219434394,NaN,-NaN
1996.835951674831,NaN,-NaN
1996.838683915269,NaN,-NaN
1996.841416155706,NaN,-NaN
1996.844148396143,NaN,-NaN
1996.846880636580,NaN,-NaN
1996.849612877017,NaN,-NaN
1996.852345117454,NaN,-NaN
1996.855077357892,NaN,-NaN
1996.857809598329,NaN,-NaN
1996.860541838766,NaN,-NaN
1996.863274079203,NaN,-NaN
1996.866006319640,NaN,-NaN
1996.868738560077,NaN,-NaN
1996.871470800514,NaN,-NaN
1996.874203040952,NaN,-NaN
1996.876935281389,NaN,-NaN
1996.879667521826,NaN,-NaN
1996.882399762263,NaN,-NaN
1996.885132002700,NaN,-NaN
1996.887864243137,NaN,-NaN
1996.890596483574,NaN,-NaN
1996.893328724012,NaN,-NaN
1996.896060964449,NaN,-NaN
1996.898793204886,NaN,-NaN
1996.901525445323,NaN,-NaN
1996.904257685760,NaN,-NaN
1996.906989926197,NaN,-NaN
1996.909722166635,NaN,-NaN
1996.912454407072,NaN,-NaN
1996.915186647509,NaN,-NaN
1996.917918887946,NaN,-NaN
1996.920651128383,NaN,-NaN
1996.923383368820,NaN,-NaN
